runRegisterFuncToEPI,Register functional images to a standard EPI template.,"A list where ‘1’ represents ‘yes’ and ‘0’ represents ‘no’ (e.g., ‘[1]’)."
template_epi,Reference image for functional EPI registration.,"A path (e.g., s3://fcp-indi/resources/cpac/resources/epi_hbn.nii.gz)."
