runNuisance,Run Nuisance Signal Correction,"A list where ‘1’ represents ‘yes’ and ‘0’ represents ‘no’ (e.g., ‘[1]’)."
lateral_ventricles_mask,Standard Lateral Ventricles Binary Mask.,"A path (e.g., $FSLDIR/data/atlases/HarvardOxford/ HarvardOxford-lateral-ventricles-thr25-2mm.nii.gz)."
Regressors,"The nuisance corrections you wish to apply. Corrections include aCompCor, tCompCor, White Matter, Cerebrospinal Fluid, Grey Matter, Global Signal, Motion, Polynomial regression, Bandpass, Censoring.","See below for a full specification of regressors."
