runDualReg,Run dual regression. Requires that Spatial Regression be enabled under Time Series Extraction.,"A list where ‘1’ represents ‘yes’ and ‘0’ represents ‘no’ (e.g., ‘[1]’)."
drNorm,Normalize time series before running dual regression.,A boolean (‘True’ or ‘False’).
